,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
砂川市,0.431271276,0.669203233,0.881488305,0.480725721,0.528275354,0.638249879,0.457390594,0.500531891,0.623806034,0.391462346,0.55695745,0.455979162,0.651166001,0.347150184,0.413177664,0.681795713,0.912165291
歌志内市,0.418046251,0.700030921,0.709046197,0.514424941,0.523441645,0.649693281,0.396269727,0.497485876,0.657349721,0.395288511,0.548219739,0.435936889,0.656685381,0.337775873,0.497658758,0.675709456,0.918442845
深川市,0.461774751,0.570078558,0.764699122,0.493082883,0.556189912,0.716690043,0.339532831,0.490393958,0.661368026,0.456659235,0.554691302,0.460501569,0.643110931,0.494485843,0.314175438,0.692266468,0.393478618
富良野市,0.468958115,0.672494905,0.805584359,0.527988395,0.527403534,0.685372343,0.43841314,0.458571908,0.60872038,0.426138676,0.554816612,0.465870642,0.643198252,0.447054233,0.498140883,0.681286532,0.869460828
登別市,0.408103573,0.691319688,0.910402321,0.40564637,0.541157292,0.655245361,0.422011085,0.447146231,0.637890265,0.434128236,0.55527046,0.434123454,0.649292634,0.335803852,0.542216626,0.652695007,0.9071539
恵庭市,0.389792369,0.700261399,0.971106581,0.511383637,0.427352906,0.675903958,0.352165788,0.464847676,0.59798423,0.450970426,0.554647279,0.457284732,0.645332793,0.358637082,0.608065444,0.638642096,0.588102001
伊達市,0.416651075,0.699158503,0.781582307,0.516138356,0.500785835,0.674006023,0.392050294,0.481623441,0.635848387,0.398473694,0.558901605,0.429575546,0.648178216,0.434652381,0.505514017,0.682090972,0.615922125
北広島市,0.400215491,0.706585099,0.968756785,0.429473002,0.445262641,0.662893478,0.383455856,0.489877521,0.622736494,0.461709519,0.555280669,0.468517239,0.646323749,0.340230974,0.564910035,0.60230908,0.652682537
石狩市,0.471528528,0.699045512,0.854670383,0.432541853,0.452948899,0.678428042,0.399226092,0.462173561,0.728290867,0.429656054,0.557365523,0.453491849,0.650614579,0.359175804,0.511248204,0.621801502,0.630975559
北斗市,0.419093887,0.65893432,0.854782424,0.402294076,0.466764072,0.676406647,0.442031314,0.446002515,0.646020026,0.413807235,0.557339271,0.453077499,0.648639046,0.372214897,0.556500055,0.66206898,0.622670692
当別町,0.547465786,0.716632599,0.720813105,0.410554458,0.534198614,0.683288742,0.387406743,0.542231824,0.737027845,0.428888309,0.565195366,0.539300011,0.650064498,0.455010603,0.296791549,0.666621663,0.380269708
新篠津村,0.446722454,0.701245992,0.753364629,0.499191785,0.334149885,0.654500543,0.337389505,0.567491412,0.695162269,0.411207574,0.555267428,0.391279805,0.653592738,0.465445486,0.408653408,0.731676025,0.498053108
松前町,0.381401546,0.710728993,0.718026877,0.568629842,0.67648117,0.679657839,0.390643299,0.483066756,0.592554152,0.361817047,0.554627387,0.437595471,0.648603969,0.4302064,0.512990433,0.70371051,0.572518825
福島町,0.42114335,0.696828054,0.704489121,0.54422327,0.667852679,0.682885564,0.433333907,0.488808606,0.690465428,0.39107643,0.557656935,0.4580249,0.652533821,0.463748349,0.607783283,0.672826945,0.634870043
知内町,0.485846561,0.69343817,0.731083813,0.499967203,0.421946424,0.666385676,0.435491736,0.533896745,0.632564157,0.445890884,0.554711545,0.441355906,0.651645158,0.438850675,0.57119221,0.645173649,0.582187461
木古内町,0.39075937,0.702551121,0.704675368,0.529048108,0.528219519,0.668648472,0.38521491,0.573764896,0.55185517,0.41143006,0.554931748,0.460448888,0.650959154,0.413903169,0.659443162,0.65267681,0.575563153
