,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
市区町村,,,,,,,,,,,,,,,,,
札幌市,50.93388982777949,40.31083285411547,62.831607480489716,16.408233459796172,46.623485837221175,42.86351550107753,39.814460200860715,34.93100760613779,50.05628498835275,69.70414689756356,64.37320791496929,63.96407943257363,65.38898381643217,38.7550674367288,32.98828190916297,44.32620568182898,63.980413051324206
函館市,46.038921946084386,41.01228672518855,39.032297062646926,33.30194225345258,48.92451013506858,45.71006095362633,42.868656175297104,44.32507051127642,44.494058439009365,55.21300096589998,53.98604828823474,58.41347740178237,54.680487424461745,50.512725075102416,37.916403576793144,50.45255998190933,55.22563034402527
小樽市,47.94271313178622,40.795700248882284,39.77832922184468,43.23777010548146,51.449087957484515,53.072357153076375,32.74278059096221,45.78363764383576,44.1440030455777,56.81065717973994,51.352903814712604,54.2092059835753,54.936594828019324,49.43903358077697,33.49600938503933,51.7487513409131,61.01078414952743
旭川市,47.37569030168348,56.41030805739058,54.101970339363604,36.963657359020516,46.09282466667324,44.442378700220566,43.389003415113564,40.6117736933678,32.2713031134881,61.85742108643269,54.0115209307219,59.185741004094524,51.4757720645159,48.01055047197356,43.61412540111483,45.67530604126893,57.80734716265891
室蘭市,45.60440214907284,31.19305328666919,39.17586325928495,31.206044986782473,46.75041375987542,39.041520789331905,34.944684620427005,48.69142165853513,63.297954297538,70.51965898500504,54.50032947759645,54.05879692274739,60.570586839869854,48.78560871948437,43.57521149687925,59.90192434532764,62.8860505313127
釧路市,46.1163428700959,49.85621102146663,31.212142031817447,36.36048579380414,44.39925912311843,46.168460942422996,39.28495794973477,43.53036550196422,46.30763125544974,58.041942020642864,53.66684382886151,51.54297881736197,56.53492258920602,48.9133910000284,46.26289257427754,54.01791878161325,57.11740480467174
帯広市,48.47734601149949,54.16973386096592,53.198402035186575,32.90241928098409,39.796586999307785,52.235738477708004,40.60218418172515,38.27141533790554,35.78853021953826,61.1710768002103,58.89950095660458,54.63488793188586,54.098565816046396,48.23455768365983,48.43330346756665,52.8614278306882,62.262674341492016
北見市,48.32616602702341,58.15852436162559,45.10563454817029,41.04133141899402,42.68805379622883,47.437516998611414,42.4243784856602,41.67147758841534,44.92246731207853,51.37901813502809,52.426270585652205,48.082246263355714,54.389275859568244,49.49152727949716,50.954677251598646,56.16341465103899,51.453507987724244
夕張市,49.09265979637294,47.751789229812246,28.3639924208728,38.981715188556606,61.67391281317294,62.78447839136725,55.707000439136266,58.83880100748154,50.28728719344745,27.39325139867675,36.19077162052746,40.93633895465001,49.028907902288466,53.8955319110351,46.37659126649068,50.303869897548246,28.779619001137434
岩見沢市,45.99528539023576,53.592978149065196,46.19192719909704,44.51381637563616,42.18050018877359,45.758087163562095,43.27800489865231,46.01486588675247,52.332734895771814,57.59927549464825,49.81666205253394,51.13016149158776,45.51906641028627,50.28054351761702,50.41310248666415,48.30367488135453,54.728671845917766
網走市,49.81436865115686,61.52447277083925,38.41241055662914,42.90590181990864,44.96211277171551,58.64819844855611,46.09431862216854,45.57337723980746,46.54144535372705,46.19290835812458,52.84135691163292,41.48001283716049,56.74236488543958,59.42617030492752,58.698817497195186,60.18079859215355,56.326015143712006
留萌市,46.01165850836202,48.86660152805929,39.65234591431954,47.10380803265591,50.38131166432844,47.86141648336502,43.07150671615382,62.56514538848792,39.587960278866774,64.56784924471444,47.28188207700485,55.448889735528375,50.159285820794054,53.05041127269578,54.515442765854374,55.05732519365285,53.689662951863404
苫小牧市,52.91558144398639,48.49798297385933,39.694729221008195,29.362567276888885,43.64846217501114,40.49979208772213,37.727478788956425,44.202273908511266,36.30110504850461,62.3875232838618,59.831499460033456,50.453751429915016,59.237715419620116,49.17874593915168,49.071786605405556,56.6502676460095,65.93876877763506
稚内市,47.394020235902914,58.1425471179734,28.842505510206518,46.199984956253665,44.4364880918372,65.34071170340368,43.24369496006638,47.17590108790956,38.709813824098596,52.49420865360579,49.37611486094673,42.32991035071976,51.48682900192259,56.984163974979154,58.85782309632106,65.64772219440684,57.16598684631759
美唄市,52.585987204227536,46.915623717240784,39.495622638279194,49.91532331622164,50.99238987276704,53.91869636963855,46.106715081852975,49.7870382493524,46.4423321662794,44.51911414682322,35.090133912335396,52.1863195785365,46.423575107124506,52.57895708620216,56.438257170997375,53.78802066866122,48.8950811815732
芦別市,48.1086787126251,56.32770678685135,28.954349686675616,49.32030891122475,59.46341300724023,39.031857671874434,43.92859646151261,48.61656942019786,37.65716048808956,44.41645033669875,39.19698700774783,47.078228705975214,44.00441517927206,55.607734781447945,47.46087030228283,51.209515013181274,58.425101871120575
江別市,50.55022625282513,52.42052051561684,63.66783638900514,37.99586216349936,38.36973357836011,53.644519210161555,40.074051781264984,38.60183514475011,35.215911065119435,63.707096825256095,53.829932746346444,43.72193637659074,49.054156596721405,42.72178883603159,51.11717580528088,47.22474325133463,64.75912250124419
赤平市,47.66391099789881,43.19706233794699,43.003117487132,51.92501961318911,61.33335110033853,52.638810277505364,51.31110751048419,57.24730266437079,43.36543416666853,56.43310424356084,39.171848479118424,61.79458359491061,52.13364090194804,55.9347069633682,45.14772433398755,56.44415983575439,41.253621181106894
紋別市,43.82678751036549,62.18785767830336,36.997314239367434,51.75593375010589,53.17219220373464,63.13478686398115,39.655393799794645,48.324090767411555,51.17172646262439,42.96942749250528,53.16110323030661,48.879449813331846,51.48505897728815,65.26350159651358,53.9048076262638,65.0361103101782,57.65427339047237
士別市,43.09689267841389,67.08546872318904,54.84620330881881,58.96869087882002,50.35884736077845,45.45008856984253,55.21118922737411,56.19311573371215,36.080257718894224,45.42512920239571,34.238860518134345,44.954694663094315,48.67003915764164,50.70193868844567,55.22916901247938,50.19803329596046,51.385467636869144
名寄市,44.566793197792315,57.61023887897338,67.54919210670171,45.21425660228915,42.14931349099667,54.80959164280799,42.26000355636472,54.00826732441898,38.81758479388722,60.30542418341721,52.02289913043271,49.272968612927954,48.082355904322,48.23941212119449,51.731524943168104,53.17797269979179,61.80324658043328
三笠市,50.787107113983446,52.382224178118975,29.066927217454584,52.544807782028066,55.63361956807735,30.609270622525585,47.465656480186006,55.74476614920321,61.14567426397812,47.241930021701904,28.635001405338734,51.742390962437646,49.556276226728265,53.46958803020413,51.887274795861515,55.97884178937217,51.72290198714351
根室市,47.233780958014,59.2325934961776,25.206514765539435,54.066197123042755,48.91590141954721,59.8916022342037,36.766223321875216,53.190700564310255,50.21955144704934,32.28916766731474,47.506252950994025,42.7701808538551,45.27513329025395,61.178369649851504,57.6684124372236,62.97341548677073,48.124498618893924
千歳市,40.601115391647724,53.662587446399456,41.58766726512443,23.889311946809826,40.235277315852294,55.45836877597583,34.970920804824075,41.09204573885597,46.34577461934091,71.4123831417502,68.34287577954366,42.68565556570827,47.09932029962475,48.28783844821119,54.1670042094937,52.3396972508292,63.36696546470001
滝川市,50.16859441629982,50.71260979441063,46.415345879622556,38.869718440946684,47.677077592517094,39.34125575127446,38.71259833218245,50.660765377379555,41.96352131990935,66.74613935627826,49.530472679255844,51.13237364678809,48.97638745671936,46.892653011869776,50.55819302142943,52.32767472115294,54.277091188936645
