,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
札幌市,0.324500899,0.69300936,0.849183548,0.404953721,0.386469922,0.677637122,0.363536436,0.34174589,0.570350877,0.453982734,0.54590075,0.482946073,0.648373202,0.306699694,0.558209383,0.5068556,0.460392336
函館市,0.337566422,0.685454541,0.820492183,0.445039668,0.373685111,0.669359292,0.407353436,0.374177665,0.580062387,0.417031348,0.545974081,0.411274181,0.641961117,0.32872641,0.554286103,0.649963435,0.581299183
小樽市,0.320264738,0.686320703,0.871508266,0.472908711,0.4153217,0.632234693,0.426639267,0.41089911,0.609697631,0.419262806,0.559636766,0.46017858,0.641024973,0.316010923,0.493986211,0.672261825,0.668171709
旭川市,0.37680756,0.707925186,0.729630512,0.4628267,0.524083404,0.669042493,0.388032272,0.372705845,0.588729969,0.460227223,0.551498568,0.418341213,0.649585451,0.345259495,0.54121234,0.662046008,0.609426138
室蘭市,0.296770701,0.690747095,0.779847092,0.37864043,0.4105703,0.645187722,0.362845051,0.481974762,0.598577132,0.45250402,0.555115142,0.523878313,0.645299385,0.542051436,0.567927207,0.633868094,0.7847524
釧路市,0.384936689,0.697633239,0.863162013,0.410392566,0.478668516,0.666857975,0.382965148,0.414985118,0.611968012,0.48806251,0.55459441,0.452319418,0.642670155,0.349093171,0.553811222,0.665580734,0.620341962
帯広市,0.379491416,0.716348452,0.763336813,0.472318791,0.395917464,0.6690191,0.367106387,0.386896184,0.577786399,0.480565978,0.557668303,0.453797285,0.645097792,0.405853182,0.496491252,0.565749864,0.453962796
北見市,0.388556527,0.711568256,0.779435733,0.49155167,0.502303278,0.686586784,0.394110506,0.529527888,0.647287347,0.414730108,0.555908036,0.465869929,0.682856549,0.444211128,0.642247317,0.68451342,0.534030957
夕張市,0.500171831,0.680515079,0.670477247,0.572023611,0.568958853,0.678376382,0.434740722,0.497580813,0.619003761,0.418929721,0.553006253,0.528478433,0.676974389,0.330663766,0.585900211,0.685774499,0.928430095
岩見沢市,0.368150462,0.705026748,0.793967361,0.51063653,0.480071563,0.694782694,0.375907329,0.339969927,0.583805582,0.422160582,0.553397146,0.434601927,0.644730543,0.43497973,0.519728655,0.679347902,0.866624517
網走市,0.361526297,0.69070594,0.745578306,0.402662038,0.440643384,0.687205306,0.391502631,0.378490235,0.583607122,0.44881442,0.55168096,0.514018511,0.645689364,0.460547217,0.489574984,0.662002769,0.415472183
留萌市,0.450508654,0.693796433,0.96916809,0.525604003,0.529216766,0.643746808,0.425013619,0.45612957,0.539104133,0.446935246,0.55199043,0.419769992,0.648721273,0.425065724,0.456445952,0.687398678,0.948314806
苫小牧市,0.318403142,0.713483505,0.735522598,0.369549346,0.360312235,0.659358643,0.39526058,0.445685928,0.588984674,0.449562481,0.555998733,0.480295693,0.681567368,0.316967089,0.598806539,0.518102536,0.319118048
稚内市,0.466700528,0.671502001,0.755177736,0.526911908,0.425135813,0.678958543,0.430039985,0.497906521,0.58957419,0.407577616,0.552682221,0.440710046,0.640891307,0.453300858,0.442534836,0.67260754,0.828357973
美唄市,0.349543183,0.687679969,0.741811787,0.55890255,0.467148664,0.688786906,0.371604172,0.500138837,0.493495744,0.398790014,0.554723651,0.48116616,0.643810506,0.493308513,0.409636819,0.685903734,0.582934089
芦別市,0.389222704,0.661606573,0.710041058,0.516419666,0.656544451,0.664610598,0.416611525,0.506204621,0.677856291,0.414452841,0.55708246,0.468261735,0.64169082,0.454800272,0.491211751,0.671083328,0.663211026
江別市,0.426509289,0.69696888,0.893715681,0.341898689,0.431631011,0.643165465,0.417841196,0.436090963,0.631064084,0.418557825,0.55687978,0.440930895,0.644687656,0.344557745,0.443948641,0.673062063,0.648125856
赤平市,0.381487356,0.696206932,0.846554589,0.412012458,0.488483346,0.636245749,0.382595321,0.534693366,0.556903802,0.346097819,0.556233165,0.475390245,0.644319124,0.355580458,0.450692035,0.682240214,0.492946923
紋別市,0.502665179,0.691752435,0.708530933,0.578873858,0.330508632,0.703676919,0.438614796,0.460312624,0.631564955,0.344919254,0.552462545,0.455231154,0.648279908,0.465957637,0.511852642,0.636939261,0.454684106
士別市,0.428755259,0.717448676,0.736789878,0.528584233,0.662220796,0.70554599,0.36657223,0.483573443,0.688109415,0.426076298,0.557143134,0.425399552,0.646715576,0.457760289,0.390333547,0.688695196,0.432825167
名寄市,0.405910506,0.68849464,0.778739735,0.474326258,0.491753267,0.702626,0.428907628,0.447863071,0.576257141,0.396062673,0.554116144,0.416148957,0.64494507,0.446174795,0.350154806,0.688902723,0.576724851
三笠市,0.407358599,0.66956718,0.774087046,0.574487717,0.535727035,0.635717953,0.380043381,0.425228018,0.581231627,0.363387311,0.556447962,0.502408152,0.649315732,0.404856067,0.461040782,0.688089045,0.577568089
